Player Name,Position,Short Name,F to M,M to F,M to D,D to M,Position (new),Starts,total_points,Points (new position),NAP,NAPPS,Cost,True Cost
Stiepermann,3,NOR,,,,,3,13,23,23,-3,-0.23,#N/A,
Stones,2,MCI,,,,,2,11,30,30,8,0.73,50,
Surman,3,BOU,,,,,3,2,3,3,-1,-0.50,#N/A,
Tanganga,2,TOT,,,,,2,6,17,17,5,0.83,50,
Targett,2,AVL,,,,,2,25,77,77,27,1.08,45,
Tarkowski,2,BUR,,,,,2,38,143,143,67,1.76,55,
Taylor,2,AVL,,,,,2,11,20,20,-2,-0.18,45,
Taylor,2,BUR,,,,,2,20,80,80,40,2.00,45,
Tettey,3,NOR,,,,,3,26,60,60,8,0.31,#N/A,
Thomas,2,LEI,,,,,2,3,15,15,9,3.00,45,
Tielemans,3,LEI,,,,,3,32,112,112,48,1.50,65,
Tierney,2,ARS,,,,,2,10,34,34,14,1.40,55,
Tomkins,2,CRY,,,,,2,18,48,48,12,0.67,45,
Tomori,2,CHE,,,,,2,14,47,47,19,1.36,50,
Torreira,3,ARS,,,,,3,13,29,29,3,0.23,50,
Tosun,4,EVE,,,,,4,5,15,15,5,1.00,60,
Townsend,3,CRY,,,,,3,13,32,32,6,0.46,60,
Traoré,3,WOL,,,,,3,26,116,116,64,2.46,65,
Travers,1,BOU,,,,,1,1,1,1,-1,-1.00,#N/A,
Trézéguet,3,AVL,,,,,3,20,82,82,42,2.10,55,
Trossard,3,BHA,,,,,3,20,77,77,37,1.85,60,
Trybull,3,NOR,,,,,3,12,24,24,0,0.00,#N/A,
Tuanzebe,2,MUN,,,,,2,2,4,4,0,0.00,45,
Valery,2,SOU,,,,,2,8,15,15,-1,-0.13,50,
Vallejo,2,WOL,,,,,2,2,1,1,-3,-1.50,#N/A,
van Aanholt,2,CRY,,,,,2,28,108,108,52,1.86,55,
van Dijk,2,LIV,,,,,2,38,178,178,102,2.68,65,
Vardy,4,LEI,,,,,4,33,198,198,132,4.00,100,
Vertonghen,2,TOT,,,,,2,18,57,57,21,1.17,#N/A,
Vestergaard,2,SOU,,,,1,3,16,50,44,12,0.75,45,
Vinagre,2,WOL,,,,,2,6,22,22,10,1.67,45,
Vokins,2,SOU,,,,,2,1,2,2,0,0.00,40,
Vrancic,3,NOR,,,,,3,6,17,17,5,0.83,#N/A,
Vydra,4,BUR,,,,,4,6,23,23,11,1.83,50,
Walcott,3,EVE,,,,,3,12,36,36,12,1.00,60,
Walker,2,MCI,,,,,2,25,110,110,60,2.40,60,
Walker-Peters,2,SOU,,,,,2,10,29,29,9,0.90,45,
Wan-Bissaka,2,MUN,,,,,2,34,126,126,58,1.71,55,
Ward,2,CRY,,,,,2,26,74,74,22,0.85,45,
Ward-Prowse,3,SOU,,,,,3,38,117,117,41,1.08,60,
Webster,2,BHA,,,,,2,29,86,86,28,0.97,45,
Welbeck,4,WAT,,,,,4,7,28,28,14,2.00,#N/A,
Wesley,4,AVL,,,,,4,21,67,67,25,1.19,60,
Westwood,3,BUR,,,,,3,35,118,118,48,1.37,55,
